EVENT_TYPE,TIMESTAMP,REQUEST_ID,ORGANIZATION_ID,USER_ID,DEVICE_SESSION_ID,UI_EVENT_TIMESTAMP,UI_EVENT_RELATIVE_TIMESTAMP,UI_ROOT_ACTIVITY_ID,USER_TYPE,CLIENT_ID,SESSION_KEY,LOGIN_KEY,CLIENT_GEO,CONNECTION_TYPE,APP_NAME,SDK_APP_VERSION,DEVICE_PLATFORM,DEVICE_MODEL,SDK_VERSION,BROWSER_NAME,BROWSER_VERSION,OS_NAME,OS_VERSION,PAGE_URL,PAGE_ENTITY_TYPE,PAGE_CONTEXT,PAGE_ENTITY_ID,SDK_APP_TYPE,DURATION,URL,START_TIME,INITIATOR_TYPE,NEXT_HOP_PROTOCOL,RENDER_BLOCKING_STATUS,WORKER_START,REDIRECT_START,REDIRECT_END,FETCH_START,DOMAIN_LOOKUP_START,DOMAIN_LOOKUP_END,CONNECT_START,SECURE_CONNECTION_START,CONNECT_END,REQUEST_START,RESPONSE_START,FIRST_INTERIM_RESPONSE_START,RESPONSE_END,TRANSFER_SIZE,ENCODED_BODY_SIZE,DECODED_BODY_SIZE,RESPONSE_STATUS,SERVER_REQUEST_ID,UI_THREAD_RESPONSE_DELAY,DOM_COMPLETE,DOM_CONTENT_LOADED_EVENT_START,DOM_CONTENT_LOADED_EVENT_END,DOM_INTERACTIVE,LOAD_EVENT_START,LOAD_EVENT_END,REDIRECT_COUNT,NAVIGATION_TYPE,UNLOAD_EVENT_START,UNLOAD_EVENT_END,TIMESTAMP_DERIVED,USER_ID_DERIVED,CLIENT_IP
UiTelemetryNavigationTiming,202504260110334.00,7d764356-1e6c-4975-a9e3-12085ac1b1f5,e6eaf6ba-bca2-4,51319237,e3614ae3-c877-4854-b6bd-8b261d1fcb57,1745629818946.00,6289,49a5696d-935f-49fd-bf4a-9448a6b2dea5,Community,de09d614-d320-4344-bbe9-79e80e48182f,919d4279-8ed0-4035,5d04f77f-5b19-4a80,LATAM,WiFi,SalesforceApp,2.9,Web,iPhone 13,1.8,Chrome,85.0.2766,Android,13,https://mydomain.lightning.force.com/lightning/page/home,HomePage,LightningApp,b5261b1a-ca49-44e0-914d-f88b001846cc,Mobile,1667,https://mydomain.lightning.force.com,0.0,navigation,http/1.1,non-blocking,8,11,30,54,66,92,112,128,151,180,195,208,233,4303,3059,1490,404,83c91425-9a65-4b1d-b290-820682066680,200,1517,441,654,367,917,1415,3,back_forward,24,38,2025-04-26T01:10:33.456Z,59002237,180.63.109.12
UiTelemetryNavigationTiming,202504260110334.00,b1ee15fd-c1f7-41f2-bfa4-99139e1ec7ad,ae49c251-820c-4,56846640,e4df0d93-d672-42ff-8459-3874a3fb4f6c,1745629818946.00,2100,df27d1d4-f066-41db-b51e-b65951a26c40,Standard,b4e28f33-960f-42d9-bb57-313fd58e8d45,916f5934-b5ea-401c,a7160674-ad59-44c3,US,WiFi,SalesforceApp,3.8,iOS,iPhone 13,1,Safari,93.0.2746,macOS,10.3,https://mydomain.lightning.force.com/lightning/page/home,HomePage,LightningApp,7bbb5bf3-f7b1-4846-80dd-38d6fcaae109,Mobile,118,https://mydomain.lightning.force.com,0.0,navigation,http/1.1,blocking,1,16,24,54,77,82,120,122,145,176,185,211,238,1093,3194,3809,404,e083febb-4d62-418f-a3c8-6376835b7435,329,1284,368,574,319,1170,1491,0,back_forward,19,40,2025-04-26T01:10:33.456Z,54979408,118.58.83.32
UiTelemetryNavigationTiming,202504260110334.00,b21e9617-efdd-4b09-b0d4-5d01bcd502e4,e5fa5dae-92f9-4,52389506,7bee2759-f115-4357-aacc-a5974e6b658b,1745629818946.00,3431,7e64786a-b8d5-426e-aa86-6079dea7d980,Guest,f0dc3eb9-7ece-43dc-9572-b174f0c73a97,5ee1ce40-b48f-42fc,e6fbbf07-4052-4264,LATAM,WiFi,SalesforceApp,4.1,Web,Pixel 6,3.6,Edge,110.0.1684,macOS,10.3,https://mydomain.lightning.force.com/lightning/page/home,HomePage,LightningApp,b1c6f637-6e9a-434e-a025-fc2eca195c55,Web,1468,https://mydomain.lightning.force.com,0.0,navigation,h2,non-blocking,5,18,30,47,79,92,103,135,144,168,188,204,240,2283,3429,1823,200,21c60efa-5b53-48da-8c17-d288a4ea9c02,14,2740,238,586,256,1080,1526,1,back_forward,25,45,2025-04-26T01:10:33.456Z,55093465,99.135.97.158
UiTelemetryNavigationTiming,202504260110334.00,1092f813-9acf-4a4b-9939-2e5b08f4f0a4,47a0cdba-ba33-4,52850838,9d8cdb76-7a88-4e1c-a418-7a4c62fe28d8,1745629818946.00,4201,ed6972b5-d043-4117-a71d-2c1d9142697b,Guest,0891621b-b814-4d44-b9cf-634daa935817,c1ef2dd3-f280-437a,0129da58-da48-4a12,US,WiFi,SalesforceApp,1,Web,iPhone 13,3.7,Chrome,93.0.3872,Linux,12.5,https://mydomain.lightning.force.com/lightning/page/home,HomePage,LightningApp,0887d9d7-599d-4023-907a-fb59c527a0d9,Mobile,1341,https://mydomain.lightning.force.com,0.0,navigation,h2,blocking,5,10,37,44,74,87,117,138,144,176,193,211,221,2641,1078,1288,304,05c81d37-0781-4cb0-af21-8042d8a058c9,375,1498,412,740,371,1002,1272,4,back_forward,19,32,2025-04-26T01:10:33.456Z,55152033,147.174.153.221
UiTelemetryNavigationTiming,202504260110334.00,762cc166-9020-49fe-8264-aa42f9151977,bb5eee3a-c732-4,55177746,cabf76c0-bf76-4900-a04c-3c27cd71deb0,1745629818946.00,2962,5b2a2398-43d4-4e41-a616-da2800595b88,Guest,7af277e3-c6dd-4a37-8516-d09209ba830c,fdfe3b07-601f-4255,dd6cdf2c-ae78-4509,US,4G,SalesforceApp,4.2,iOS,Desktop,1.7,Edge,119.0.2033,iOS,15,https://mydomain.lightning.force.com/lightning/page/home,HomePage,LightningApp,e5e63abc-88d8-4ddc-ab2e-faaf9d0ecc7d,Mobile,2973,https://mydomain.lightning.force.com,0.0,navigation,http/1.1,non-blocking,5,17,40,43,71,86,111,121,155,163,192,219,238,3673,3592,2746,404,8c40757e-332a-46ce-983e-de38cd07f62e,228,1112,208,613,340,924,1227,4,navigate,15,46,2025-04-26T01:10:33.456Z,51694186,74.116.13.60
UiTelemetryNavigationTiming,202504260110334.00,9653521c-9b63-4e59-aa1e-4033939991ce,c88fc991-c5ab-4,58588605,839c2105-c078-4dba-b434-efa56d438d88,1745629818946.00,3025,c0a9cbce-2dde-4e7a-975d-8cf561bf6132,Guest,23fc916e-5d1b-4a0b-ae00-3c77dd2f0f63,0588bac9-ef4e-4c4d,c4b3f553-8656-4781,EU,4G,CustomApp,4.7,Web,Pixel 6,1.3,Safari,109.0.2263,iOS,14.5,https://mydomain.lightning.force.com/lightning/page/home,HomePage,LightningApp,5273af96-a9e0-4e89-a16a-91f2d01c6f76,Mobile,1626,https://mydomain.lightning.force.com,0.0,navigation,h2,blocking,8,12,21,42,61,99,117,126,147,170,186,210,223,4959,2343,2489,304,bcbec545-7d57-4fa4-a169-53a0abf008d7,210,2240,396,714,158,1113,1304,3,navigate,15,49,2025-04-26T01:10:33.456Z,57712813,135.227.107.108
UiTelemetryNavigationTiming,202504260110334.00,a941bad8-421e-42c7-a4af-0e60b5de1d9c,72d594e0-502c-4,56030585,f34c3f07-96d6-450b-bb85-729d8713f5c5,1745629818946.00,5084,6ae08a15-e78b-4ffd-a353-94b5ee01cd27,Standard,1919f819-4c0a-42ba-86d5-468bbb16e313,dfaa0282-3bd1-429e,8f8194cf-852d-4be3,US,WiFi,SalesforceApp,3.6,Web,Desktop,3.6,Chrome,110.0.1654,Linux,14.5,https://mydomain.lightning.force.com/lightning/page/home,HomePage,LightningApp,4ce44fb5-7919-4d8a-932b-acc054f8e542,Mobile,342,https://mydomain.lightning.force.com,0.0,navigation,h2,non-blocking,2,13,21,59,71,83,118,135,149,178,192,217,238,1350,2146,1338,304,71fce089-8ea0-42c1-a9f0-4df49e19346d,490,1626,436,779,197,1185,1258,0,navigate,15,33,2025-04-26T01:10:33.456Z,56093210,19.104.160.164
UiTelemetryNavigationTiming,202504260110334.00,16511262-77f0-467e-9a12-6d6b69024888,e6f3f9f1-fc4b-4,56694787,64af6d49-3486-4c1f-a850-ae3b7883c36d,1745629818946.00,8445,517c1bf2-d04e-4531-ba30-d0fdba26b8c5,Guest,d7f306c9-491b-4729-b722-bc9348deac3f,c7a6d5db-ce25-49a5,6c84cb8b-dae9-45a8,US,5G,CustomApp,3.3,iOS,iPhone 13,2.2,Edge,111.0.1265,Linux,12.5,https://mydomain.lightning.force.com/lightning/page/home,HomePage,LightningApp,be7ab9a2-588a-4870-b4d3-b6b3f228aee9,Web,2023,https://mydomain.lightning.force.com,0.0,navigation,h2,blocking,7,18,33,54,64,84,103,132,145,161,195,208,225,3576,1435,1568,200,dfb08f06-f38c-4787-bee6-d3ca71b3d4fc,298,2456,239,642,334,1038,1207,3,back_forward,29,53,2025-04-26T01:10:33.456Z,56908120,166.216.148.128
UiTelemetryNavigationTiming,202504260110334.00,bfd0b0ea-6334-437b-b140-a86d842c6583,f1be11cf-e198-4,59358515,9ad848ff-2af5-4277-b53d-ab3167da6192,1745629818946.00,7198,764fbc39-3331-4d7d-b8a3-011a61df694e,Community,fd62c1d3-257d-449e-b4c5-08c37c485c7d,b4b70357-7c41-4738,974d8783-9c80-438d,EU,4G,SalesforceApp,3.6,Android,Pixel 6,2.3,Safari,92.0.4517,Android,12.3,https://mydomain.lightning.force.com/lightning/page/home,HomePage,LightningApp,e24c713b-8a45-4b7a-9e57-59f16cf30738,Web,1342,https://mydomain.lightning.force.com,0.0,navigation,h2,non-blocking,9,16,33,45,63,92,111,129,144,180,183,204,230,4639,4092,1183,200,fd50e3a6-5be8-41cb-b943-1d0915086f86,389,1829,275,532,199,821,1534,3,navigate,19,41,2025-04-26T01:10:33.456Z,54240244,181.57.70.227
UiTelemetryNavigationTiming,202504260110334.00,a875957b-105c-498c-9950-37fe2ba4a0f5,bd8d8256-64eb-4,52466978,850b1796-8594-4fc5-86d0-5b00af5aa0dc,1745629818946.00,1153,8f63dbb5-7da5-46df-9c30-ac76613a01d2,Community,b4bae254-67bd-478b-bfb4-b69cb742e819,723b20e6-03ef-4601,3606d17b-6426-4895,LATAM,WiFi,CustomApp,3.2,Android,Galaxy S21,2.4,Edge,120.0.1346,macOS,10,https://mydomain.lightning.force.com/lightning/page/home,HomePage,LightningApp,a8d24c6a-9a0f-42ac-bd64-10f0b7b211b1,Web,1464,https://mydomain.lightning.force.com,0.0,navigation,http/1.1,blocking,6,13,24,44,78,99,112,139,159,168,191,218,224,4037,914,4005,304,d192e8a0-e65b-4cdd-a987-e092e3de2f5c,93,891,267,578,213,1080,1371,1,reload,29,35,2025-04-26T01:10:33.456Z,55157560,240.67.102.169
